MarketClass,URBAN2,DL24hrmean,UL24hrmean,DNSRTT24hr,Latency24hr,Web24hr,iPlayerStartupDelay24hr
3,Urban,62.09234091,18.55168523,21.99431171,21.74065093,276.8984592,#NULL!
3,Urban,64.33673901,18.70955567,22.4796074,17.80145857,221.372794,1202
3,Urban,35.70226142,18.57794985,27.46508339,21.97231497,277.5217159,1336
3,Urban,10.28563118,1.002545818,47.63887217,38.26957163,1020.859605,#NULL!
2,Semi-urban,22.2829378,9.430487506,23.86011917,18.97671268,439.5869323,1530
3,Urban,68.89762002,18.17985897,27.14732038,26.31368215,346.6149402,#NULL!
1,Rural,55.13561648,16.37149177,27.97245349,27.3517571,550.5277541,1971
1,Semi-urban,6.684992815,0.451035139,47.63550696,43.48069516,1253.529197,#NULL!
2,Semi-urban,16.32486946,0.99583225,40.03248412,35.14018282,524.6240736,#NULL!
2,Semi-urban,35.87270925,9.263486312,31.56721637,26.81100577,341.9781847,1671
3,Urban,69.07213993,18.52340446,28.76530189,22.93907883,323.3665662,1398
3,Urban,68.57299128,18.53691876,28.05739952,23.04207265,278.9992114,1123
3,Urban,8.911206882,0.745789202,29.8314517,31.13905769,612.0368723,#NULL!
1,Rural,27.04998096,8.205515829,33.97455527,33.30297159,449.5787092,#NULL!
1,Rural,11.09188615,6.275996655,32.98137883,27.64080426,1003.674267,#NULL!
3,Semi-urban,36.25289998,5.002140506,29.11225384,23.51821418,522.673502,#NULL!
1,Rural,0.635878137,0.385924931,35.26511422,29.40703853,5885.711483,3346
1,Rural,36.95848372,7.981212272,24.4522689,21.81322682,280.9925768,1372
1,Rural,4.402458182,0.283774018,43.9746501,41.69923077,1789.260192,#NULL!
1,Rural,3.588002894,0.401173771,49.73344198,44.2349644,2135.659554,#NULL!
1,Rural,16.63214492,0.997287698,36.85846382,35.48279365,553.7735936,#NULL!
1,Rural,3.460779966,0.94203829,30.83929438,27.1775945,2031.980766,3393
1,Rural,28.49164761,8.527864646,38.43367464,33.66675455,634.0176856,1659
2,Urban,5.327438373,0.918767106,35.03234473,26.92265523,966.619073,#NULL!
1,Rural,5.794867571,0.407503723,54.3676874,50.54219038,996.1199429,#NULL!
1,Rural,35.16741913,9.351789223,29.89446134,29.34081366,591.9317108,#NULL!
1,Semi-urban,37.02448736,9.22979505,32.28668971,30.42843379,598.1778749,1728
1,Semi-urban,32.53680137,9.344293428,24.17571466,19.09675,277.1648633,1313
2,Semi-urban,15.19947356,1.042378703,40.02253043,34.56007081,452.7554365,1803
1,Semi-urban,35.29209752,8.911837151,36.90150549,34.3640156,411.4594588,#NULL!
1,Rural,37.11312853,9.270547429,29.45158762,28.78499424,373.497353,#NULL!
2,Semi-urban,13.39268479,0.835725017,24.35495059,28.68350568,881.3606423,1865
1,Rural,34.81611952,13.50314167,38.23362567,34.11620491,458.9349284,2003
3,Urban,86.3344909,5.9596384,15.44840095,11.8425731,245.995057,1001
3,Urban,125.6323333,11.89897177,21.70035107,9.46420921,436.1953526,2803
3,Urban,34.88468496,7.043807542,16.48647973,11.05450647,259.0452475,1200
3,Semi-urban,38.40192995,6.148714636,17.31590177,18.25922143,328.1128921,#NULL!
2,Semi-urban,6.78612633,0.344666057,67.32078672,68.64204011,1162.510021,#NULL!
