"ID","Distance.band","Urban.rural","Market","ISP","Headline.speed","Technology","Download.speed..Mbit.s..24.hour","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","ISP.weights","Nat.weights"
"1","1302","2563-5000","Urban",3,"Virgin","60","Cable",58.597,62.673,56.677,3.04,3.152,3.052,19.139,0,18.578,0,1.871,0.267,2.326,0.422,15.277,"0.010%",16.206,"0.010%",281.039,300.055,1,0.38
"2","1318","1367-1635","Urban",3,"TalkTalk","20","ADSL2+",9.325,11.362,9.162,0.858,0.991,0.876,28.55,0.001,28.672,0,1.715,1.055,4.738,1.942,33.103,"0.160%",34.127,"0.180%",1073.72,1161.081,1.19,0.96
"3","1319","1992-2563","Urban",3,"Sky","20","ADSL2+",5.369,5.726,5.399,0.946,1.002,0.95,22.078,0.001,21.901,0,0.505,0.545,0.467,0.528,21.751,"0.290%",22.352,"0.330%",1397.531,1538.037,1.44,1.55
"4","1320","1367-1635","Urban",3,"Virgin","60","Cable",60.544,62.675,59.84,3.021,3.137,3.029,17.869,0,17.895,0,1.967,0.292,3.073,0.288,11.605,"0.160%",12.229,"0.010%",236.581,280.076,1,NA
"5","1321","763-946","Urban",3,"Virgin","30","Cable",30.69,32.898,30.531,1.987,2.071,1.869,12.948,0,13.227,0,2.805,0.162,NA,NA,15.287,"0.010%",16.038,"0.000%",236.743,245.472,1,0.59
"6","1325","1367-1635","Rural",2,"Plusnet","20","DSL",5.165,5.268,5.15,0.947,1.004,0.941,20.45,0.002,20.641,0.002,0.586,0.48,0.593,0.592,18.573,"0.120%",18.765,"0.180%",758.913,836.715,1.19,0.1
"7","1326","1635-1992","Urban",3,"Virgin","60","Cable",59.61,63.061,58.276,2.973,3.199,2.974,30.22,0,32.43,0,5.89,0.268,8.892,0.42,20.885,"0.100%",21.905,"0.040%",352.825,387.465,1,NA
"8","1329","582-763","Urban",3,"Virgin","60","Cable",60.365,62.669,57.245,3.051,3.156,3.049,12.964,0,13.29,0,1.604,0.282,2.054,0.355,14.663,"0.050%",15.718,"0.010%",272.546,262.039,1,NA
"9","1333","582-763","Urban",3,"Plusnet","20","DSL",14.506,16.446,13.889,0.808,1.103,0.798,33.325,0.002,34.119,0.002,0.62,0.494,0.71,0.658,31.414,"0.310%",32.32,"0.090%",526.403,539.657,0.99,NA
"10","1338","0-385","Urban",3,"Virgin","30","Cable",31.212,33.348,30.842,1.985,2.101,1.969,27.005,0,29.667,0,5.48,0.276,7.898,0.497,22.178,"0.060%",24.384,"0.010%",384.393,459.611,1,0.59
