"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"1","Urban",3,46.9844,3.115,15.712,20.101,281.602
"2","Urban",3,45.5636,14.967,24.337,23.882,328.972
"3","Urban",3,6.9502,0.806,37.816,40.412,973.295
"4","Urban",3,5.1803,0.893,22.514,21.828,1077.498
"5","Urban",3,32.6965,5.638,13.418,12.891,236.983
"6","Urban",2,36.9341,9.503,11.042,7.669,197.89
"7","Urban",3,59.4303,11.455,7.638,6.569,168.984
"8","Rural",2,23.0231,6.813,24.871,24.711,366.38
"9","Urban",3,62.1146,3.014,12.194,14.267,237.197
"10","Urban",3,12.085,0.771,36.322,36.347,570.292
"11","Urban",3,53.7997,3.085,19.377,12.618,418.825
"12","",0,67.1938,17.091,11.642,11.405,180.356
"13","Rural",1,37.2349,8.498,25.618,17.902,270.13
"14","Rural",1,2.7368,0.438,51.226,50.892,1521.785
"15","Urban",3,13.2712,1.145,23.215,15.529,640.34
"16","Urban",3,8.4507,0.681,29.605,26.735,747.186
"17","Rural",3,5.3088,0.759,58.588,45.241,1032.73
"18","Rural",1,1.7786,0.346,40.387,44.129,2312.196
"19","Urban",3,36.8003,1.869,29.856,20.032,276.657
"20","Urban",3,18.8219,1.062,16.92,12.196,508.951
"21","Urban",2,10.875,1.073,10.428,7.431,785.625
"22","Rural",3,21.127,1.865,29.451,28.505,399.048
"23","Urban",3,22.1193,9.466,30.411,32.694,471.546
"24","Urban",2,56.946,14.68,26.347,25.534,356.902
"25","Urban",3,11.2179,1.042,27.447,27.19,472.218
"26","Urban",3,37.3253,9.563,28.024,21.023,295.318
"27","Urban",1,1.9223,0.723,18.158,16.14,1901.912
"28","Urban",3,12.2499,1.181,14.979,13.677,385.176
"29","Urban",2,36.2506,9.23,20.976,18.419,265.316
"30","Urban",3,2.5067,0.754,43.182,36.62,1736.926
"31","Urban",3,2.4839,0.44,30.734,29.14,1765.847
"32","Urban",3,3.6534,0.651,25.779,25.301,1169.905
"33","Urban",2,61.1173,2.983,12.844,11.227,204.811
"34","Rural",2,0.7647,0.67,24.149,NA,NA
"35","Urban",3,8.6663,0.904,40.309,35.815,604.634
"36","Urban",1,6.486,0.455,19.731,19.877,700.328
"37","Urban",3,53.7069,18.264,8.625,7.22,149.48
"38","Urban",3,9.037,0.847,28.251,27.01,544.6
"39","Urban",1,4.2112,0.397,30.189,29.824,1095.209
"40","Urban",3,15.5486,1.091,15.109,12.904,725.848
"41","Urban",1,2.8622,0.99,22.321,12.138,1491.139
"42","Urban",3,69.9297,18.507,13.076,12.62,185.393
"43","Urban",3,34.356,7.262,21.593,14.757,261.066
"44","Urban",1,19.1072,4.517,32.196,31.441,425.921
"45","Urban",3,51.7034,3.05,21.02,14.049,211.45
"46","Urban",2,13.2346,0.999,31.682,31.543,472.455
"47","Rural",3,36.3144,18.701,19.369,19.476,263.162
"48","Urban",3,32.8915,1.959,16.293,19.656,312.125
"49","Urban",2,16.8871,0.994,31.061,18.77,594.93
"50","Urban",3,36.8843,9.467,16.278,14.647,236.882
"51","Urban",3,60.7375,3.195,16.055,12.944,262.356
"52","Urban",1,63.2395,17.963,12.268,12.118,184.813
"53","Urban",1,14.2799,0.827,25.002,14.966,581.594
"54","Rural",1,2.0358,0.737,19.318,12.061,1933.119
"55","Rural",1,5.8197,0.417,62.92,54.496,1307.125
"56","Urban",3,32.8936,1.869,23.311,NA,374.345
"57","Urban",3,18.6263,1.153,8.192,6.501,517.164
"58","Urban",3,73.3587,18.133,13.386,12.204,177.715
"59","Urban",3,73.4949,17.133,12.833,12.28,195.399
"60","Urban",2,55.4457,18.61,16.74,15.865,230.272
"61","Urban",3,67.8788,17.211,17.487,13.578,184.538
"62","Urban",3,15.2368,0.919,13.662,12.229,324.498
"63","Urban",3,4.5179,0.901,29.892,26.91,1498.877
"64","Urban",3,14.1707,0.837,33.093,20.921,567.13
"65","Urban",3,3.4955,0.844,29.468,30.661,1335.778
"66","Urban",3,4.1837,0.642,33.92,30.247,1166.769
"67","Rural",3,1.0737,0.299,27.054,25.107,2606.057
"68","Rural",3,2.3261,0.586,43.392,37.126,1722.333
"69","Urban",2,7.5394,0.959,34.103,33.342,751.42
"70","Urban",3,62.3803,6.255,13.105,13.67,294.725
"71","Urban",3,23.6359,9.597,29.847,28.518,413.181
"72","Urban",1,14.0669,0.979,21.615,20.472,449.214
"73","Urban",3,36.0082,9.419,13.994,6.92,218.91
"74","Urban",3,9.9436,0.809,28.298,24.885,700.032
"75","Urban",3,23.4856,1.852,23.743,27.066,358.367
"76","Urban",3,72.7174,17.011,12.942,12.055,226.984
"77","Rural",3,23.0625,5.154,41.787,40.476,536.102
"78","Urban",2,68.7124,18.557,12.663,11.689,180.78
"79","Urban",2,8.4598,0.702,35.35,34.14,854.312
"80","Urban",3,71.3148,17.289,9.228,9.411,166.445
"81","Urban",3,48.4404,3.271,17.446,18.901,349.247
"82","Rural",1,22.5701,2.137,32.728,31.176,461.18
"83","Urban",3,39.7672,14.995,17.452,16.246,245.756
"84","Urban",3,37.8191,11.233,19.671,20.285,263.949
"85","Urban",2,17.7716,1.024,18.734,17.646,610.758
"86","Rural",3,3.3433,0.617,31.051,34.368,1344.955
"87","Rural",1,6.0945,0.407,56.356,53.808,1118.49
"88","Urban",4,7.8678,0.733,26.775,26.795,676.461
"89","Urban",1,2.7096,0.727,45.991,38.101,1557.439
"90","Rural",1,71.0702,18.405,12.781,12.471,201.769
"91","Urban",3,70.1141,17.175,12.116,NA,NA
"92","Urban",3,5.4441,1.047,36.974,36.49,1213.688
"93","Urban",3,4.8017,0.736,26.242,31.738,981.916
"94","Urban",1,5.6194,0.387,30.53,29.415,2046.148
"95","Rural",1,6.7966,0.389,25.97,25.275,1083.346
"96","Urban",3,13.5056,0.944,18.178,17.161,408.724
"97","Urban",3,36.5405,9.41,22.203,NA,NA
"98","Urban",3,5.7724,0.432,34.024,33.114,797.843
"99","Rural",2,74.1176,17.068,22.207,20.866,295.318
"100","Rural",1,6.2015,0.871,36.923,28.97,711.871
"101","Urban",2,15.8192,1.155,27.404,18.227,1848.753
"102","Urban",3,48.4091,8.153,7.543,6.217,155.655
"103","Urban",3,59.4631,2.711,28.15,27.334,330.368
"104","Rural",2,5.6158,0.797,40.595,40.508,1052.418
"105","Urban",3,48.8684,9.722,14.291,14.804,208.472
"106","Urban",3,56.601,16.793,28.431,32.261,423.552
"107","Urban",3,36.8729,9.449,15.609,14.73,232.959
"108","Urban",3,52.5939,14.042,14.278,13.565,194.129
"109","Urban",3,37.2307,9.437,7.578,6.191,163.956
"110","Urban",3,33.2585,2.089,20.087,9.408,336.653
"111","Urban",3,4.4388,0.637,50.897,42.983,1001.375
"112","Urban",3,37.0702,9.497,19.309,18.398,282.507
"113","Urban",3,47.273,14.907,25.2,24.431,321.541
"114","Urban",3,6.8731,1.04,15.884,15.553,598.766
"115","Rural",1,4.6262,0.44,46.832,45.363,1940.786
"116","Urban",3,6.321,0.885,37.413,33.966,1024.697
"117","Urban",2,71.6973,17.179,7.894,8.389,144.834
"118","Urban",3,37.1937,10.014,26.832,23.195,301.052
"119","Rural",3,1.5892,0.38,30.264,24.641,2317.731
"120","Urban",3,30.0332,1.967,12.76,10.18,202.215
"121","",0,16.7247,1.027,35.484,18.894,477.02
"122","Urban",3,59.6576,3.001,18.159,18.693,274.402
