"unit_id" "WT_national" "WT_ISP" "Valid_panel" "Pack_number" "Tech" "Plusnet_upload" "LLUvsNon" "MarketClass" "URBAN2" "Nation" "Dist_ADSL1" "Dist_ADSL2" "DL24hrmean" "DL24hrmax" "DLpeakmean" "DLpeakmax" "UL24hrmean" "UL24hrmax" "UL24hrmean_A" "UL24hrmax_A" "DNSFail24hr" "DNSFailPeak" "DNSRTT24hr" "DNSRTTPeak" "JitterUp24hr" "JitterUpPeak" "JitterDown24hr" "JitterDownPeak" "Latency24hr" "LatencyPeak" "PacketLoss24hr" "PacketLossPeak" "Web24hr" "WebPeak" "Disconnections" "YouTubeUHD24hr" "YouTubeHD24hr" "YouTubeSD24hr" "YouTubeFailed24hr" "YouTubeStartupDelay24hr" "YouTubeUHDPeak" "YouTubeHDPeak" "YouTubeSDPeak" "YouTubeFailedPeak" "YouTubeStartupDelayPeak" "NetflixUHD24hr" "NetflixHD24hr" "NetflixSD24hr" "NetflixFailed24hr" "NetflixStartupDelay24hr" "NetflixUHDPeak" "NetflixHDPeak" "NetflixSDPeak" "NetflixFailedPeak" "NetflixStartupDelayPeak" "iPlayerUHD24hr" "iPlayerHD24hr" "iPlayerSD24hr" "iPlayerFailed24hr" "iPlayerStartupDelay24hr" "iPlayerUHDPeak" "iPlayerHDPeak" "iPlayerSDPeak" "iPlayerFailedPeak" "iPlayerStartupDelayPeak"
"1" 3640 0.46 1.1 "Valid panelist" "BT 80" "FTTC 76" "#NULL!" "Y" "3" "Urban" "Scotland" "#NULL!" "#NULL!" 62.0923409144 62.144744 62.0860605712 62.14424 18.5516852344 18.692096 18.537341524 18.643504 0.05 0.2 21.99431171 22.4540853 0.30695726 0.30295238 0.32623362 0.34319048 21.74065093 21.77375 0.01 0.03 276.89845923 269.5647619 0.033 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"2" 814409 0 1.09 "Valid panelist" "Sky 80" "FTTC 76" "#NULL!" "Y" "3" "Urban" "Scotland" "#NULL!" "#NULL!" 64.3367390104 68.029496 53.6700899312 67.427376 18.7095556736 18.828624 18.6936218664 18.801744 0.05 0 22.4796074 23.15795927 0.26432692 0.25678571 0.2848141 0.33914286 17.80145857 17.75334146 0.05 0.01 221.37279398 211.197625 0.233 "0" "1" "0" "0" "432" "0" "1" "0" "0" "469" "1" "0" "0" "0" "689" 0.9677 0.0323 0 0 1069.62559375 "0" "1" "0" "0" "1202" 0 1 0 0 1648.6513125
"3" 662382 0 5.48 "Valid panelist" "Plusnet 40" "FTTC 38" "20.0" "Y" "3" "Urban" "Scotland" "#NULL!" "#NULL!" 35.7022614216 37.508784 35.8975263592 37.508784 18.5779498544 18.72512 18.5842 18.72512 0.02 0 27.46508339 27.49427677 0.34569492 0.34357143 0.39240909 0.39085714 21.97231497 22.07207692 0.02 0.01 277.52171591 272.555 0 "0" "1" "0" "0" "687" "0" "1" "0" "0" "628" "1" "0" "0" "0" "954" 1 0 0 0 953.0904 "0" "1" "0" "0" "1336" 0 1 0 0 2141.28735
"4" 675946 1.5 1.04 "Valid panelist" "BT 20" "ADSL2" "#NULL!" "Y" "3" "Urban" "Scotland" "#NULL!" "Distance band 8" 10.2856311816 11.307888 10.3334008 11.307888 1.0025458184 1.085408 1.0022819048 1.085408 0.05 0 47.63887217 48.08472452 0.51769341 0.50535 0.47052149 0.4663 38.26957163 38.2758 0.04 0.04 1020.859605 1026.648233 0.167 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"5" 814111 0 0.91 "Valid panelist" "Sky 40" "FTTC 38" "#NULL!" "Y" "2" "Semi-urban" "Scotland" "#NULL!" "#NULL!" 22.2829377968 24.89712 22.0997299456 24.8958 9.4304875056 9.826904 9.4745444328 9.733664 0.04 0 23.86011917 24.93110307 0.24457705 0.23764286 0.40210526 0.40526667 18.97671268 19.02871053 0.1 0 439.58693226 428.48945714 0.321 "0" "1" "0" "0" "566" "0" "1" "0" "0" "646" "1" "0" "0" "0" "1439" 1 0 0 0 1494.0611 "0" "1" "0" "0" "1530" 0 1 0 0 1968.9432
"6" 2236 0.56 1.26 "Valid panelist" "BT 80" "FTTC 76" "#NULL!" "Y" "3" "Urban" "Scotland" "#NULL!" "#NULL!" 68.8976200208 74.22212 68.6849805216 74.173384 18.179858968 19.098992 18.0496618184 18.747968 0 0 27.14732038 27.20367752 0.33872727 0.2959 0.50340909 0.6715 26.31368215 26.85885714 0.03 0.05 346.61494024 392.73058333 0 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"7" 33832 0 0 "Valid panelist" "BT 80" "FTTC 76" "#NULL!" "Y" "1" "Rural" "Scotland" "#NULL!" "#NULL!" 55.1356164848 56.6036 54.9739410528 56.461248 16.3714917696 17.024328 16.2217668568 17.01872 0 0 27.97245349 28.04759091 0.23392793 0.2278 0.37048949 0.36145 27.3517571 27.47614286 0.02 0 550.5277541 600.1164909 0.1 "0" "1" "0" "0" "724" "0" "1" "0" "0" "736" "1" "0" "0" "0" "700" 1 0 0 0 690.19945 "0" "1" "0" "0" "1971" 0 1 0 0 1832.16275
"8" 660012 0.67 0 "Valid panelist" "BT 8" "ADSL1" "#NULL!" "Y" "1" "Semi-urban" "Scotland" "Distance band 3" "#NULL!" 6.6849928152 6.860784 6.7185308232 6.860784 0.4510351392 0.60336 0.4511688888 0.60336 0.68 0.32 47.63550696 48.22137987 1.3684037 2.34721429 0.51134815 1.325375 43.48069516 42.98271429 0.15 0.02 1253.529197 1282.649453 0.1 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"9" 33999 0 0.75 "Valid panelist" "Plusnet 20" "ADSL2" "#NULL!" "Y" "2" "Semi-urban" "Scotland" "#NULL!" "Distance band 5" 16.3248694608 17.606272 16.2350444448 17.174064 0.9958322504 1.069192 0.971753412 1.057608 0.03 0 40.03248412 40.76434402 0.85637143 0.8645 0.52382857 0.4325 35.14018282 34.83484615 0.1 0 524.62407362 528.42642857 0.44 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"10" 662380 0.31 1.09 "Valid panelist" "BT 40" "FTTC 38" "#NULL!" "Y" "2" "Semi-urban" "Scotland" "#NULL!" "#NULL!" 35.8727092488 37.175904 33.1672441024 37.151944 9.263486312 9.344864 9.2583175384 9.344864 0.03 0 31.56721637 31.8581681 0.38098567 0.40747619 0.35430372 0.42019048 26.81100577 26.68492683 0.12 0 341.9781847 434.88553846 0.167 "0" "1" "0" "0" "565" "0" "1" "0" "0" "577" "1" "0" "0" "0" "1004" 0.9474 0.0526 0 0 1111.92133333 "0" "1" "0" "0" "1671" 0 1 0 0 1759.2191
