URBAN2,Nation,DL24hrmean,UL24hrmean,Latency24hr,Web24hr
3,Urban,#NULL!,62.14424,0.34319048,0.03
3,Urban,#NULL!,67.427376,0.33914286,0.01
3,Urban,#NULL!,37.508784,0.39085714,0.01
3,Urban,Distance band 8,11.307888,0.4663,0.04
2,Semi-urban,#NULL!,24.8958,0.40526667,0
3,Urban,#NULL!,74.173384,0.6715,0.05
1,Rural,#NULL!,56.461248,0.36145,0
1,Semi-urban,#NULL!,6.860784,1.325375,0.02
2,Semi-urban,Distance band 5,17.174064,0.4325,0
2,Semi-urban,#NULL!,37.151944,0.42019048,0
3,Urban,#NULL!,72.33308,0.498,0.29
3,Urban,#NULL!,71.897744,0.39811765,0
3,Urban,Distance band 4,9.03056,0.92072727,0.71
1,Rural,#NULL!,28.004512,0.7833,0
1,Rural,#NULL!,29.064424,1.2372381,0.26
3,Semi-urban,#NULL!,37.151008,0.38605263,0
1,Rural,#NULL!,0.743008,0.80238889,0.16
1,Rural,#NULL!,37.65916,0.3803,0
1,Rural,Distance band 10,5.223984,1.07205882,0.28
1,Rural,#NULL!,3.818056,0.81522222,0.06
1,Rural,Distance band 10,17.639856,0.72835714,0.28
1,Rural,Distance band 20,4.071744,1.12591667,0.11
1,Rural,#NULL!,29.959616,0.4317,0
2,Urban,Distance band 13,5.866088,0.37416667,0.15
1,Rural,#NULL!,6.79628,2.09033333,0.01
1,Rural,#NULL!,37.119456,0.38535,0.01
1,Semi-urban,#NULL!,37.149144,0.3236,0.29
1,Semi-urban,#NULL!,36.431272,0.22983333,0.07
2,Semi-urban,Distance band 4,16.398248,0.40366667,0.01
1,Semi-urban,#NULL!,37.593536,0.68345,1.6
1,Rural,#NULL!,37.15928,0.56342857,0
2,Semi-urban,Distance band 3,14.159696,0.4425,0.2
1,Rural,#NULL!,37.564144,0.42033333,0.01
3,Urban,#NULL!,99.3254,1.88877778,0.04
3,Urban,#NULL!,135.038672,0.82957143,0.17
3,Urban,#NULL!,36.36604,0.71861905,0.1
3,Semi-urban,#NULL!,42.02344,0.64305556,0.28
2,Semi-urban,#NULL!,6.882672,0.41483333,0.17
3,Urban,#NULL!,72.506824,0.38785714,0.05
3,Urban,#NULL!,154.618984,0.3536,0.01
3,Urban,#NULL!,158.446568,0.2754,0
3,Urban,#NULL!,156.398984,0.18771429,0.04
3,Urban,Distance band 1,14.211368,0.38415385,0.1
3,Urban,#NULL!,73.708472,0.42138095,0
3,Urban,#NULL!,5.67064,0.9925,0.04
3,Urban,#NULL!,42.596096,1.24242105,1.04
3,Urban,Distance band 1,10.425448,1.12926667,0.19
3,Urban,#NULL!,105.585504,0.2804,0.06
3,Urban,Distance band 9,10.976056,0.611875,0.03
3,Urban,Distance band 4,8.833736,0.83328571,0.02
3,Urban,#NULL!,53.99704,0.589,0.58
3,Urban,#NULL!,20.681768,0.581625,0
3,Urban,Distance band 5,17.500688,1.15807692,0
3,Urban,Distance band 15,6.439496,1.09457143,2.12
3,Urban,Distance band 15,5.605464,0.53492857,0.01
3,Urban,#NULL!,37.156288,0.75406667,0.1
3,Urban,#NULL!,104.893984,0.84538889,0.18
3,Urban,#NULL!,37.209048,0.35441176,0.03
3,Urban,#NULL!,63.478592,0.51228571,0.13
3,Urban,#NULL!,27.968016,0.4428,0.11
3,Urban,#NULL!,37.251752,0.34244444,0
3,Urban,#NULL!,74.303088,0.53814286,0.09
3,Urban,#NULL!,73.445648,0.31757143,0.22
2,Semi-urban,#NULL!,74.321576,0.42033333,0
3,Rural,#NULL!,37.391608,0.39794444,0
3,Urban,#NULL!,74.31228,0.31690476,0
3,Urban,#NULL!,74.33108,0.27525,0
3,Urban,#NULL!,106.061344,0.2527,0.01
3,Urban,#NULL!,156.173056,0.3654,0.01
3,Urban,Distance band 1,5.843376,0.41976923,0.23
3,Urban,#NULL!,197.136384,0.21890909,0.01
3,Urban,#NULL!,54.701152,0.288,0.01
3,Urban,#NULL!,153.768656,0.30035,0.16
3,Urban,#NULL!,106.66468,0.32661538,0.02
3,Urban,#NULL!,37.926312,1.0992,0.01
3,Urban,#NULL!,107.469088,0.27675,0
3,Urban,#NULL!,49.450928,0.552125,0.01
3,Urban,#NULL!,54.31656,0.64333333,0.04
3,Urban,#NULL!,105.807064,0.37292308,0.01
3,Urban,#NULL!,74.343608,0.52711111,0
3,Urban,#NULL!,37.10952,0.319,0
3,Urban,#NULL!,153.879792,1.56593333,0.35
3,Urban,#NULL!,157.367504,0.2745,0
1,Semi-urban,#NULL!,31.338488,0.43484211,0.03
3,Urban,#NULL!,94.690656,2.3755,0
3,Urban,#NULL!,157.803424,0.26057895,0
3,Urban,#NULL!,61.812136,0.4861,0
3,Urban,#NULL!,53.894472,0.42347619,0
1,Rural,#NULL!,28.965688,0.65904762,0.04
3,Urban,#NULL!,49.103392,0.46425,0
2,Rural,#NULL!,73.75752,0.70109091,0.33
1,Semi-urban,Distance band 2,6.06404,0.6824,0.07
1,Rural,#NULL!,36.265088,0.37557143,0.01
1,Rural,Distance band 2,6.979312,0.5256,0.01
,Urban,#NULL!,37.168504,0.47642105,0.16
,Urban,#NULL!,172.812224,0.2825,0.03
2,Rural,#NULL!,16.615096,0.43615789,0.05
2,Semi-urban,Distance band 11,11.915128,0.4502,0.1
,Urban,#NULL!,195.417488,0.222,0
3,Urban,#NULL!,31.2742,0.92852381,0.05
1,Rural,Distance band 19,0.466312,1.51266667,1.96
3,Semi-urban,#NULL!,37.154608,0.287,0
3,Semi-urban,#NULL!,62.757968,0.85957143,0
1,Rural,Distance band 1,20.69456,0.46452632,0.32
1,Semi-urban,Distance band 1,14.209968,0.4269375,0.22
1,Rural,Distance band 20,5.20688,0.53452632,0.02
1,Rural,Distance band 12,6.67748,3.3588,0.09
1,Semi-urban,#NULL!,19.423776,0.41208333,0.16
