"Id","Distance.band","Distance.band.used.for.weighting","Urban.rural","Market","ISP","Technology","LLU","Headline.speed","Download.speed..Mbit.s..24.hrs","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","isp.weights","nat.weights"
"1",1302,"2563-5000","","Urban",3,"Virgin","Cable","Cable",60,46.9844,54.0065,39.5455,3.115,3.22,3.114,15.712,0,17.216,0,2.126,0.404,3.386,0.672,20.101,0,22.322,0,281.602,326.401,1,0.0994
"2",1308,"0-385","","Urban",3,"BT","FTTC","Non-LLU",80,45.5636,56.473,44.6293,14.967,17.393,14.871,24.337,0,24.24,0,0.24,0.282,0.238,0.292,23.882,0,24.14,0,328.972,325.74,1,NA
"3",1318,"1367-1635","1299-1680","Urban",3,"TalkTalk","ADSL","LLU",20,6.9502,8.379,6.5982,0.806,0.936,0.788,37.816,0.001,47.108,0.002,2.348,1.486,4.917,2.704,40.412,0.002,46.788,0.004,973.295,1232.743,1.88,0.2646
"4",1319,"1992-2563","1680-2274","Urban",3,"Sky","ADSL","LLU",20,5.1803,5.9627,5.1002,0.893,1.088,0.876,22.514,0,22.83,0,0.67,0.554,0.678,0.572,21.828,0.001,20.981,0.001,1077.498,1098.193,1.73,0.4158
"5",1321,"763-946","","Urban",3,"BT","FTTC","Non-LLU",40,32.6965,34.589,32.155,5.638,5.819,5.64,13.418,0.001,13.319,0,0.439,0.382,0.452,0.454,12.891,0,12.611,0.001,236.983,258.682,1,0.0428
"6",1322,"582-763","","Urban",2,"Sky","FTTC","Non-LLU",40,36.9341,37.5664,36.4499,9.503,9.769,9.447,11.042,0,10.741,0,0.369,0.302,0.327,0.265,7.669,0,7.657,0.001,197.89,229.439,1,NA
"7",1323,"385-582","","Urban",3,"BT","FTTC","Non-LLU",80,59.4303,60.1346,59.1971,11.455,11.64,11.455,7.638,0.001,7.753,0,0.264,0.213,0.279,0.293,6.569,0,6.668,0,168.984,193.806,1,NA
"8",1325,"1367-1635","","Rural",2,"Plusnet","FTTC","Non-LLU",40,23.0231,26.1823,22.829,6.813,7.12,6.806,24.871,0,25.116,0,0.434,0.452,0.558,0.527,24.711,0.001,24.766,0,366.38,397.051,1,NA
"9",1329,"582-763","","Urban",3,"Virgin","Cable","Cable",60,62.1146,62.1562,62.12,3.014,3.114,3.021,12.194,0.003,13.879,0.012,1.431,0.2,1.827,0.228,14.267,0.002,14.671,0,237.197,218.112,1,0.0315
"10",1333,"582-763","582-946","Urban",3,"Plusnet","ADSL","Non-LLU",20,12.085,13.9893,10.8859,0.771,0.857,0.773,36.322,0.003,36.803,0.035,0.644,0.872,0.639,1.556,36.347,0.004,36.785,0.005,570.292,557.822,0.69,0.0226
