URBAN2,Nation,DL24hrmax,UL24hrmax,Latency24hr,Web24hr
3,Urban,62.09234091,18.55168523,21.74065093,276.8984592
3,Urban,64.33673901,18.70955567,17.80145857,221.372794
3,Urban,35.70226142,18.57794985,21.97231497,277.5217159
3,Urban,10.28563118,1.002545818,38.26957163,1020.859605
2,Semi-urban,22.2829378,9.430487506,18.97671268,439.5869323
3,Urban,68.89762002,18.17985897,26.31368215,346.6149402
1,Rural,55.13561648,16.37149177,27.3517571,550.5277541
1,Semi-urban,6.684992815,0.451035139,43.48069516,1253.529197
2,Semi-urban,16.32486946,0.99583225,35.14018282,524.6240736
2,Semi-urban,35.87270925,9.263486312,26.81100577,341.9781847
3,Urban,69.07213993,18.52340446,22.93907883,323.3665662
3,Urban,68.57299128,18.53691876,23.04207265,278.9992114
3,Urban,8.911206882,0.745789202,31.13905769,612.0368723
1,Rural,27.04998096,8.205515829,33.30297159,449.5787092
1,Rural,11.09188615,6.275996655,27.64080426,1003.674267
3,Semi-urban,36.25289998,5.002140506,23.51821418,522.673502
1,Rural,0.635878137,0.385924931,29.40703853,5885.711483
1,Rural,36.95848372,7.981212272,21.81322682,280.9925768
1,Rural,4.402458182,0.283774018,41.69923077,1789.260192
1,Rural,3.588002894,0.401173771,44.2349644,2135.659554
1,Rural,16.63214492,0.997287698,35.48279365,553.7735936
1,Rural,3.460779966,0.94203829,27.1775945,2031.980766
1,Rural,28.49164761,8.527864646,33.66675455,634.0176856
2,Urban,5.327438373,0.918767106,26.92265523,966.619073
1,Rural,5.794867571,0.407503723,50.54219038,996.1199429
1,Rural,35.16741913,9.351789223,29.34081366,591.9317108
1,Semi-urban,37.02448736,9.22979505,30.42843379,598.1778749
1,Semi-urban,32.53680137,9.344293428,19.09675,277.1648633
2,Semi-urban,15.19947356,1.042378703,34.56007081,452.7554365
1,Semi-urban,35.29209752,8.911837151,34.3640156,411.4594588
1,Rural,37.11312853,9.270547429,28.78499424,373.497353
2,Semi-urban,13.39268479,0.835725017,28.68350568,881.3606423
1,Rural,34.81611952,13.50314167,34.11620491,458.9349284
3,Urban,86.3344909,5.9596384,11.8425731,245.995057
3,Urban,125.6323333,11.89897177,9.46420921,436.1953526
3,Urban,34.88468496,7.043807542,11.05450647,259.0452475
3,Semi-urban,38.40192995,6.148714636,18.25922143,328.1128921
2,Semi-urban,6.78612633,0.344666057,68.64204011,1162.510021
3,Urban,69.47540122,18.59051071,7.49667234,163.5577226
3,Urban,151.8048527,10.06555798,9.70075152,201.0183537
3,Urban,155.2368493,12.68098549,8.99283357,159.1190975
3,Urban,120.2353118,12.02623877,9.98677383,226.6312397
3,Urban,13.47542952,0.839919396,21.2863381,463.9521095
3,Urban,73.26188723,18.57159852,9.82488369,172.8039617
3,Urban,5.158227803,0.401274966,53.95243436,1240.614784
3,Urban,66.98352175,6.130352,13.69808616,226.8833492
3,Urban,8.404678116,0.986666076,16.30790592,876.2344729
3,Urban,99.76064165,5.914060783,14.42730603,216.6501841
3,Urban,10.57662922,1.073144334,9.10075042,780.9031182
3,Urban,8.259971292,0.757522154,23.29822532,679.9677557
3,Urban,47.46863038,3.00151228,12.56032708,214.8936745
3,Urban,20.48750513,2.681847186,16.39910448,446.6216325
3,Urban,15.97110971,0.876068398,17.36912113,361.5566474
3,Urban,6.047405193,0.684102286,25.49989506,1261.636541
3,Urban,4.983652292,0.892440858,12.47478876,1029.297808
3,Urban,36.7055096,9.27242179,10.93962731,261.9473754
3,Urban,89.01361201,6.023207366,13.23157082,247.6807729
3,Urban,36.85203351,8.459748389,11.30830783,197.5688949
3,Urban,62.62086539,16.52918451,11.08229037,250.4122371
3,Urban,25.61756097,1.860922529,27.66019527,654.9538312
3,Urban,34.74493422,1.839526126,12.24619379,481.713064
3,Urban,73.75448583,18.47848884,9.93617305,186.883066
3,Urban,69.35219379,5.06742099,11.74640569,169.0536533
2,Semi-urban,74.1975202,18.58464555,12.69058499,195.3798088
3,Rural,37.09063326,9.265324542,13.36057464,210.3617997
3,Urban,74.00065299,18.56284971,12.61383129,210.4698159
3,Urban,73.71618482,18.56510201,12.69596837,174.9368107
3,Urban,104.7865745,6.01847479,12.77924203,182.0534389
3,Urban,142.6169624,11.50146864,13.48183688,207.4587159
3,Urban,5.522350279,0.530147514,37.46380819,1595.970038
3,Urban,189.347645,12.45265609,14.60019449,252.8289978
3,Urban,53.99818627,2.9995329,20.0718271,311.4481095
3,Urban,145.4129016,12.00768471,14.32516738,201.5951581
3,Urban,97.57474924,5.978719101,14.63737949,216.0285688
3,Urban,36.23284114,16.12675886,20.1622931,253.2646463
3,Urban,107.1580854,6.049430047,12.82648448,192.2831033
3,Urban,48.06008234,7.40963323,9.82873891,176.919869
3,Urban,53.8726346,3.007872366,14.06176856,248.6212974
3,Urban,102.3450697,6.220643171,13.36092206,236.2259146
3,Urban,74.23127709,18.95204306,10.56455966,296.5266996
3,Urban,36.62823549,1.854513704,11.95304956,343.2783972
3,Urban,130.6109869,11.9934186,12.56546579,162.2326012
3,Urban,143.5002024,12.00423679,12.74040172,248.4758529
1,Semi-urban,31.08779159,1.939737756,14.57933965,225.2180841
3,Urban,89.32332331,9.727059126,19.37649194,444.507717
3,Urban,152.5889558,6.722747334,13.97271165,235.6217133
3,Urban,56.81669342,2.906226048,13.26529985,210.1694786
3,Urban,51.90763847,3.03188538,13.0212777,222.4455449
1,Rural,27.13889197,1.855517966,11.78883191,240.4477822
3,Urban,48.44259795,12.0171701,10.76324574,171.9844869
2,Rural,71.79192048,18.05136347,12.486714,283.4504018
1,Semi-urban,6.054175186,0.860151277,22.67616738,1185.157621
1,Rural,34.64496463,1.830756192,12.35725664,217.2527252
1,Rural,6.827407207,0.624837164,26.2366855,852.004023
,Urban,36.64170534,9.280272215,13.46584084,203.7885497
,Urban,138.3853342,12.42318365,13.66505882,210.4318068
2,Rural,15.45602358,2.425082518,17.43583262,324.2817467
2,Semi-urban,11.64648057,1.104738558,12.5997451,765.6332389
,Urban,191.458314,20.71952852,7.13607534,274.6484662
3,Urban,30.20322056,6.432822601,12.42972057,265.1601058
1,Rural,0.41904736,0.371061086,16.83396445,12990.74631
3,Semi-urban,36.98656016,9.287128,9.69325496,199.3431252
3,Semi-urban,60.49970407,14.36761419,11.50138632,178.0830203
1,Rural,19.16497688,1.041307729,16.0252112,355.5183228
1,Semi-urban,13.73472089,0.988822882,26.87157016,427.9243925
1,Rural,3.275262758,0.35454543,26.05450352,1495.107071
1,Rural,6.269488291,0.462008162,22.83958135,823.9051419
1,Semi-urban,19.20340643,1.059349218,13.13355778,695.4149023
3,Urban,155.662926,12.00142536,14.49637996,218.911919
3,Urban,103.2549702,6.01046,15.04424407,219.7474562
3,Urban,88.15338352,5.929931147,15.37211932,239.7329264
3,Urban,37.08565243,9.380917121,12.17515035,231.3755241
3,Urban,12.0815882,1.06016123,26.89605121,450.5802929
3,Urban,208.1378527,12.28698242,16.55858947,312.294613
3,Urban,54.64576947,3.005331542,15.13757041,249.7931944
3,Urban,36.5002841,2.095449951,15.39376239,386.8134749
3,Urban,3.900419866,0.720713258,30.13147067,1235.374301
3,Urban,25.40624862,1.850664544,29.35273011,576.5216863
3,Urban,36.67544379,8.438727177,12.71084823,375.8554993
3,Urban,37.26239677,9.494061206,11.22997529,206.8252398
3,Urban,14.48205204,6.158028631,16.31363878,639.461992
3,Urban,36.92835442,8.462374171,14.68756941,605.069527
3,Semi-urban,4.983014833,0.369086007,17.93224376,957.0568855
3,Rural,16.60046746,1.012660138,16.48826725,325.5223054
3,Urban,130.795315,11.13361506,13.21779149,240.7853647
3,Semi-urban,57.45700737,16.58342449,10.66251148,1612.575604
3,Semi-urban,147.1748319,12.28042397,13.91370058,232.7621033
3,Urban,35.64135409,9.238070291,15.52297615,259.6597616
3,Semi-urban,20.04354052,3.009429671,15.82217842,446.2015216
3,Semi-urban,104.9840411,6.245460724,13.48858963,233.2276344
3,Urban,36.80876694,5.918347908,12.1584539,215.1152358
3,Urban,36.38782962,1.83054141,15.75204334,471.988424
3,Semi-urban,7.441275716,0.368805731,19.0755348,618.7301327
3,Urban,7.032036565,0.8004355,32.05319645,1270.33776
3,Semi-urban,4.274371271,0.389856035,25.61909845,965.6531376
2,Rural,67.64325373,18.541284,11.81152131,183.4162141
3,Urban,63.34161761,6.060893741,13.9962031,229.0507965
2,Rural,9.589528166,1.143503748,13.39988095,464.735858
3,Semi-urban,72.93131652,18.21513885,14.33736874,411.3834791
3,Semi-urban,15.91950815,1.098689862,14.14750248,333.9848466
3,Rural,18.67211745,2.566090614,11.05795133,310.234956
3,Semi-urban,35.98745005,9.461463014,12.21527059,343.3264481
3,Urban,53.57618144,3.15343095,13.75385294,238.9571467
3,Urban,16.51941805,0.952114651,18.8015767,1154.808255
3,Urban,15.57772314,0.901172942,10.26973362,314.1078846
3,Urban,100.9530862,6.005000973,13.86130471,347.0065313
3,Urban,73.90823504,18.63301063,10.41129927,158.6537066
3,Urban,154.0472248,12.01050471,12.25750071,173.0390837
3,Urban,6.429255564,0.862016626,14.42314151,951.5454202
2,Urban,27.6988392,9.252530634,21.57678723,620.828205
3,Urban,36.30561455,18.571469,10.59564255,202.2060543
3,Semi-urban,37.32716574,9.385467906,10.70068369,231.2508084
3,Urban,129.5332664,12.25184667,13.40238014,214.2072746
3,Urban,70.56398116,18.58522092,8.32383546,159.4293467
3,Urban,53.4287937,3.052098251,12.39042139,207.1152735
3,Urban,101.0867383,5.651351174,14.55202158,320.6724516
3,Urban,73.7381976,18.57531963,8.59243429,156.0282428
3,Urban,48.57518064,12.74700988,14.00491206,366.4417863
3,Urban,7.210019206,1.03629254,25.14579753,1030.965696
3,Urban,53.99695299,15.64570013,22.58263333,322.3183573
3,Urban,195.4407662,12.26690497,12.35578221,231.3687391
3,Urban,155.0000536,12.10653977,13.70371105,236.1587908
3,Urban,152.3971724,11.94491617,13.05195455,188.1042847
3,Urban,101.4377975,6.137939404,15.03361376,253.4391667
3,Urban,156.8628655,11.58008925,14.25012868,213.3263696
3,Urban,73.82353076,18.95890812,12.2437635,270.1248007
3,Urban,37.07987147,9.283595432,11.12182955,188.5229399
3,Urban,11.86484697,1.029315091,24.44313136,995.2506988
3,Urban,87.40482715,5.689747407,13.68494856,221.1251012
3,Urban,45.84597225,14.01319827,13.75370149,1043.163602
3,Urban,53.82811025,3.142314486,13.98326871,233.3459204
3,Urban,58.41220092,9.712396542,15.05083405,333.5991302
3,Urban,33.84008773,9.963087817,13.80702546,832.0999106
3,Urban,113.8740456,11.15470182,14.15175603,254.974245
3,Urban,74.02696823,18.57949935,10.55762774,186.8953181
3,Urban,35.75251474,8.741067163,18.17725957,242.2722593
3,Urban,41.04313034,3.017756745,13.93703414,242.0218932
3,Urban,36.91465034,5.263471965,8.12844733,169.8843853
3,Urban,37.10535068,7.166950177,7.10414468,175.1072299
3,Urban,69.75366133,16.96393442,9.76596717,171.0005592
3,Urban,107.0650756,5.823577967,13.06208711,268.525017
3,Semi-urban,7.286047555,0.730549193,11.81965606,467.5301453
3,Urban,10.40615098,1.008899446,11.19483308,416.8208709
